Expt,MCstrain,Prey,Light,Fed,Rep,ExptDay,MC_cellspmL,Prey_cellspmL,corr_chl_p_cell,FIReTimestamp,FvFm,Fm,Pmax,a,Pmax.err,Pmax.pvalue,a.err,a.pvalue,E_K,ETR_I,Ct_crypto,crypto_qPCR_run,crypto_count,Ct_meso,meso_qPCR_run,meso_count,est_meso,Ct_rawratio,PlastidCount,cryptos_per_est_meso
29,1802,CM,100,Y,A,4,1235.71,20428.57,21.53294444,68410,0.454,8126,90.27689978,1.026917703,1.770976117,6.42E-21,0.034691931,1.02E-16,87.91054972,73.44723484,28.71,CM Run 2 16 May,17516.60755,24.95,MC Run 8 16 May,2324.34184,2471.428571,1.150701403,7.536158085,7.08764
29,1802,CM,100,Y,A,6,2150,17500,16.601,65969,0.323,4001,39.22092515,0.730133963,1.360608354,1.62E-16,0.073930952,1.08E-08,53.71743697,37.3707098,32.82,CM Run 2 16 May,977.0122297,27.84,MC Run 8 16 May,265.5583735,4300,1.17887931,3.67908651,0.22721
29,1802,CM,100,Y,A,8,2450,11619.05,11.31315385,66416,0.322,5791,86.28652903,0.885714673,3.915522625,1.79E-14,0.059964781,1.67E-11,97.42023206,66.65574566,32.05,CM Run 2 16 May,1677.837899,27.05,MC Run 8 16 May,480.5073111,4900,1.184842884,3.491805141,0.34242
29,1802,CM,100,Y,A,10,2250,6400,9.48525641,66006,0.248,4742,69.95997659,1.013323265,1.45034682,1.72E-20,0.048411512,4.38E-14,69.04013654,62.64094254,33.8,CM Run 2 16 May,490.9078762,28.52,MC Run 8 16 May,159.3969474,4500,1.18513324,3.079782167,0.10909
29,1802,CM,100,Y,A,12,2830,4900,6.849,70270,0.217,4481,53.93647281,0.72195933,2.251555871,4.19E-15,0.063604021,1.23E-09,74.70846432,46.99594171,31.92,CM Run 2 16 May,1838.230637,26.89,MC Run 8 16 May,541.8261981,5660,1.187058386,3.392657356,0.32478
29,1802,CM,100,Y,A,14,1442.86,2600,5.613,9727,0.154,6480,100.6493949,1.084418477,6.429525433,4.02E-11,0.092116744,2.71E-09,92.8141644,79.73858088,30.11,CM Run 2 16 May,6553.148356,25.17,MC Run 8 16 May,1970.516156,2885.714286,1.196265395,3.325599912,2.27089
29,1802,CM,100,Y,B,0,321.43,4300,6.759444444,64651,0.272,2190,73.16991458,0.763575785,5.832761872,5.09E-10,0.092615732,2.42E-07,95.82534697,57.02073201,36.05,CM Run 2 16 May,101.099731,30.38,MC Run 8 16 May,39.45663097,642.8571429,1.186635945,2.562300138,0.15727
29,1802,CM,100,Y,B,1,450,6133.33,12.59588889,65123,0.323,2784,151.7775526,0.911079766,17.48234875,7.50E-08,0.063604996,2.78E-11,166.5908499,81.54155599,31.74,CM Run 2 16 May,2085.931296,27.42,MC Run 8 16 May,363.9820779,900,1.157549234,5.73086265,2.3177
29,1802,CM,100,Y,B,2,685.71,17714.29,17.23604348,59719,0.411,4839,102.4442545,1.17131594,2.492638818,3.00E-19,0.049417686,5.04E-15,87.46082161,83.5479464,29.35,CM Run 2 16 May,11175.06351,25.64,MC Run 8 16 May,1384.713735,1371.428571,1.144695788,8.070305961,8.14848
29,1802,CM,100,Y,B,4,1442.86,28357.14,19.8505,69518,0.447,7807,78.51428685,1.067364269,1.229582936,1.14E-22,0.03591176,9.45E-17,73.55903612,68.79939795,29.38,CM Run 2 16 May,10942.08288,25.35,MC Run 8 16 May,1721.472146,2885.714286,1.158974359,6.356235799,3.79181
29,1802,CM,100,Y,B,6,2142.86,20571.43,17.01330769,66968,0.387,4235,63.89224301,0.937318224,1.381086074,3.64E-20,0.047330147,1.14E-13,68.16494266,57.43972288,31.23,CM Run 2 16 May,2984.351682,NA,MC Run 8 16 May,#VALUE!,4285.714286,#VALUE!,#VALUE!,0.69635
29,1802,CM,100,Y,B,8,2810,11888.89,10.64340323,67468,0.34,7063,69.78681521,0.873270639,1.899952175,2.22E-18,0.046290889,2.63E-13,79.91430386,59.2252152,28.99,CM Run 2 16 May,14389.64236,NA,MC Run 8 16 May,#VALUE!,5620,#VALUE!,#VALUE!,2.56043
