Expt,MCstrain,Prey,Light,Fed,Rep,ExptDay,MeanCells,CountVol,CF,CellCount,ChlExtr,ChlVol,ChlpmL,ChlpCell,lnCells,Mu,Timestamp,Fv.Fm,Fm,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
,Ctrl,SM,100,NA,B,4,64.50,0.3,0.60,129885.15,235.7848,4,294.73,2.269,11.774,0.718,52696,0.439,15270,72.73151619,0.859258626,7.24E-25,1.348084383,0.046320847,1.37E-16,53.9517534,69.2458748
,Ctrl,SM,100,NA,B,6,101.33,0.3,0.60,204057.29,79.9294,2,199.82,0.979,12.226,0.559,60112,0.347,7417,49.41828614,1.258626233,6.77E-19,1.246483598,0.114116868,2.26E-09,39.64615838,48.78547323
,Ctrl,SM,100,NA,B,8,76.17,0.3,0.60,153378.59,65.4842,2,163.71,1.067,11.941,0.395,64326,0.303,6769,44.77260626,1.382878779,2.08E-17,1.464846938,0.183811056,2.59E-07,30.56469936,44.64389596
,Ctrl,SM,100,NA,B,10,67.67,0.3,0.60,136261.94,65.6048,2,164.01,1.204,11.822,0.287,63285,0.295,4685,-59.04474828,1.072699626,1.63E-21,1.490965146,0.097429861,9.22E-12,-39.60169589,58.29290925
,Ctrl,SM,100,NA,B,12,,,,,,,,,,,,,,,,,,,,,
,Ctrl,SM,100,NA,B,14,29.17,0.1,1.00,291666.67,56.9484,2,142.37,0.488,12.583,0.228,55373,0.294,5775,-32.68791442,0.729248912,6.39E-20,1.813815517,0.193611498,2.41E-08,-18.02163126,32.68692426
,Ctrl,SM,100,NA,C,0,132.67,20.0,1.00,6633.33,21.2642,4,26.58,4.007,8.800,,57995,0.455,19616,160.5887286,1.667481735,7.12E-26,1.458584369,0.018776763,3.38E-24,110.099033,115.6724478
,Ctrl,SM,100,NA,C,1,33.17,2.0,1.00,16583.33,50.369,4,62.96,3.797,9.716,0.916,60620,0.457,48303,148.7904499,1.288677314,2.74E-27,1.478319158,0.018209676,1.53E-24,100.6483945,112.9133982
,Ctrl,SM,100,NA,C,2,89.50,2.0,1.00,44750.00,113.7912,4,142.24,3.179,10.709,0.954,60523,0.449,111901,182.4395583,2.843118112,1.04E-22,1.487683689,0.024135979,2.14E-22,122.6332987,122.7051753
,Ctrl,SM,100,NA,C,4,66.83,0.3,0.60,134583.84,203.933,4,254.92,1.894,11.810,0.750,53177,0.444,15990,68.25773306,0.902814042,5.50E-24,1.24105612,0.046984163,7.55E-16,54.99971514,64.75322879
,Ctrl,SM,100,NA,C,6,80.00,0.3,0.60,161097.86,74.5426,2,186.36,1.157,11.990,0.537,60595,0.351,7032,51.09284044,1.373866924,1.78E-18,1.284813174,0.123975623,5.14E-09,39.766747,50.42856472
,Ctrl,SM,100,NA,C,8,60.83,0.3,0.60,122501.50,61.9332,2,154.83,1.264,11.716,0.367,64878,0.303,6116,42.44923188,1.134236508,1.59E-18,1.680402636,0.194729024,8.20E-08,25.26134568,42.41830541
,Ctrl,SM,100,NA,C,10,87.17,0.3,0.60,175529.55,62.9114,2,157.28,0.896,12.076,0.294,63801,0.291,4247,-60.98387819,0.92826726,6.83E-23,1.662379874,0.094800227,9.20E-13,-36.6846827,60.46307815
,Ctrl,SM,100,NA,C,12,,,,,,,,,,,,,,,,,,,,,
,Ctrl,SM,100,NA,C,14,24.17,0.1,1.00,241666.67,55.6486,2,139.12,0.576,12.395,0.223,55848,0.292,5574,-31.70156395,0.837595161,1.30E-18,1.894859055,0.245333108,4.03E-07,-16.73030185,31.7011562
,Ctrl,SM,50,NA,A,0,155.33,20.0,1.00,7766.67,26.651,4,33.31,4.289,8.958,,64757,0.362,30189,220.639995,2.522646726,4.02E-25,1.999671464,0.028248245,1.79E-23,110.3381225,93.65879694
,Ctrl,SM,50,NA,A,1,351.50,20.0,1.00,17575.00,55.7558,4,69.69,3.966,9.774,0.817,64384,0.352,62217,239.9373919,3.816116691,1.50E-22,2.11280373,0.039662041,2.92E-21,113.5635026,99.30490673
,Ctrl,SM,50,NA,A,2,47.33,1.0,1.00,47333.33,113.5634,4,141.95,2.999,10.765,0.904,65304,0.48,127020,155.7442015,0.995353912,1.16E-29,1.568574711,0.014546488,9.34E-27,99.29026677,72.40910813
,Ctrl,SM,50,NA,A,4,47.50,0.3,0.60,95651.86,170.567,4.00,213.21,2.229,11.468,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
